request_id,tenant_id,apartment_id,request_date,start_month,duration
298,460,1833,2021-09-05,2022-04,12
300,510,2518,2023-07-23,2023-12,8
302,788,691,2022-06-14,2023-03,19
306,914,2607,2024-07-17,2024-10,22
314,616,105,2023-09-19,2024-06,10
315,765,2493,2021-04-14,2022-01,12
320,20,2508,2021-05-17,2022-05,14
322,274,2811,2022-07-25,2022-12,17
330,75,172,2023-07-05,2024-05,15
337,431,585,2024-03-29,2024-12,5
344,186,803,2023-12-23,2024-07,12
352,309,1506,2023-01-20,2023-11,6
355,413,1515,2021-01-05,2021-03,9
356,738,1237,2021-10-08,2021-11,21
358,287,2897,2023-02-09,2023-07,14
366,18,1397,2023-07-08,2024-04,19
367,953,1352,2020-08-10,2021-06,13
371,482,2859,2021-04-19,2022-04,15
376,121,1513,2021-07-07,2022-01,6
383,360,1178,2024-03-24,2024-09,16
392,51,829,2020-04-09,2020-10,19
395,123,240,2022-07-23,2022-08,24
397,411,900,2021-07-12,2022-06,17
406,582,1876,2023-05-01,2024-04,23
407,309,652,2020-04-01,2021-04,17
417,225,1687,2023-04-26,2023-10,22
419,149,977,2021-06-27,2021-11,18
427,956,1886,2022-07-26,2022-08,23
428,375,2539,2024-03-11,2024-10,3
435,190,751,2021-03-21,2022-03,9
440,433,1279,2024-01-24,2024-03,10
442,661,1721,2021-03-30,2021-04,11
448,368,2653,2023-03-21,2023-12,15
449,921,2415,2020-06-03,2020-07,9
457,73,1643,2022-11-12,2023-06,9
461,829,2798,2022-08-21,2022-10,23
464,542,120,2022-03-04,2022-08,17
471,348,1635,2022-09-12,2023-05,20
475,271,1634,2022-10-12,2023-06,16
482,755,1082,2022-02-06,2022-06,21
487,136,688,2024-02-24,2024-11,13
488,908,1360,2020-10-07,2021-04,8
491,13,258,2022-09-16,2023-02,23
496,571,863,2023-07-23,2023-09,19
497,29,2964,2023-05-13,2023-12,20
504,599,1587,2020-07-11,2020-08,4
507,384,2831,2022-07-08,2023-01,5
525,393,163,2020-04-04,2020-06,16
537,569,2410,2022-06-13,2022-07,13
543,354,2030,2022-11-23,2023-05,6
548,598,321,2022-03-27,2022-11,15
552,773,1028,2023-06-26,2024-01,7
555,475,873,2020-02-08,2021-02,6
562,897,1791,2021-08-24,2022-01,9
564,379,331,2021-12-08,2022-12,21
567,897,1258,2021-09-18,2022-04,4
569,861,2473,2024-07-16,2024-11,7
570,728,1304,2024-01-25,2024-04,3
573,210,219,2020-04-12,2020-12,18
581,642,1447,2024-02-11,2024-07,15
583,862,217,2023-05-21,2023-10,11
586,798,1455,2021-12-15,2022-06,22
589,199,472,2023-08-21,2024-07,16
596,556,1341,2020-07-06,2020-09,6
602,68,2259,2022-04-29,2022-10,7
605,124,1688,2020-07-02,2020-08,7
608,193,1576,2021-09-06,2021-10,20
614,408,1088,2021-08-06,2021-09,13
619,539,2243,2020-07-15,2020-10,16
622,619,2196,2023-02-16,2023-04,6
624,301,2,2021-08-22,2022-08,9
626,788,1457,2021-06-13,2021-12,13
631,500,2824,2021-04-25,2021-07,15
645,767,851,2024-06-30,2024-11,8
649,72,1533,2020-08-13,2020-12,4
651,531,1493,2022-08-05,2023-08,8
655,155,2865,2023-07-30,2024-05,23
660,592,2705,2020-09-09,2021-02,18
667,310,1417,2024-07-22,2024-09,7
676,358,2096,2022-05-26,2022-06,20
685,880,2382,2024-04-21,2024-08,12
691,942,346,2020-09-05,2021-06,24
699,248,2975,2020-03-09,2020-06,3
700,294,37,2021-11-03,2022-01,8
702,256,2350,2020-01-18,2021-01,18
707,863,2322,2023-06-18,2023-07,24
708,919,43,2023-09-03,2024-01,24
709,274,2267,2020-03-22,2020-04,11
713,566,2092,2020-02-21,2020-09,15
714,554,2356,2024-01-04,2024-06,21
726,706,1692,2021-02-21,2021-03,24
732,91,942,2021-03-03,2022-01,21
733,797,1339,2021-10-02,2022-08,4
736,807,261,2024-03-03,2024-07,7
743,251,1226,2021-08-05,2022-08,24
744,639,91,2020-02-03,2020-12,15
759,613,1306,2022-03-20,2022-11,14
761,84,1487,2021-02-07,2021-07,16
770,772,2148,2021-01-09,2021-09,11
773,469,2407,2020-01-29,2020-07,22
793,64,2835,2022-08-31,2023-04,3
805,133,1166,2020-11-24,2021-02,24
811,252,1637,2020-09-12,2021-05,7
813,71,2666,2020-06-30,2020-10,6
814,618,2693,2024-01-20,2024-11,11
818,437,2970,2024-03-14,2024-08,11
822,664,2752,2024-01-08,2024-05,22
833,366,916,2022-06-18,2023-01,18
837,654,2169,2023-12-04,2024-01,7
838,659,2422,2020-01-06,2020-05,8
857,208,1286,2022-10-07,2023-02,21
863,249,1900,2020-03-14,2020-12,3
871,368,2968,2020-12-17,2021-01,3
873,101,2543,2020-04-03,2021-03,16
874,77,1509,2022-12-24,2023-08,21
877,479,607,2022-01-12,2022-12,3
880,543,2765,2021-04-20,2022-02,24
884,839,2893,2023-10-22,2023-12,5
890,217,928,2023-09-07,2024-05,5
896,905,1161,2020-01-13,2020-10,10
899,850,1065,2020-03-09,2021-01,3
903,130,1819,2022-02-02,2023-01,4
905,724,2135,2021-11-09,2022-07,22
907,647,2513,2024-01-16,2024-05,16
914,889,2052,2022-10-06,2023-02,8
921,194,1894,2024-01-27,2024-11,19
930,306,847,2020-04-01,2020-08,24
934,540,2542,2022-12-31,2023-05,13
939,277,1881,2024-02-17,2024-08,3
950,587,1504,2021-08-07,2022-03,19
962,344,1541,2024-04-13,2024-12,7
966,949,2871,2023-06-02,2024-03,11
968,821,157,2024-08-12,2024-09,16
971,432,1380,2023-06-14,2024-06,23
995,210,1091,2024-05-24,2024-07,22
996,254,1219,2020-04-15,2020-12,22
1005,499,278,2022-12-01,2023-09,15
1017,171,1668,2020-10-05,2021-04,22
1023,461,1052,2020-11-12,2021-04,11
1024,749,1259,2023-12-20,2024-05,18
1025,42,1881,2023-02-10,2023-07,22
1037,108,2662,2020-09-18,2020-11,9
1038,180,1681,2021-10-27,2022-08,17
1041,443,1586,2023-04-22,2024-03,20
1045,163,2711,2023-11-27,2024-07,6
1051,736,806,2023-12-25,2024-05,20
1053,633,602,2021-01-20,2021-11,20
1054,397,2792,2021-07-02,2022-06,5
1056,47,338,2020-05-05,2021-04,22
1063,77,652,2022-01-14,2023-01,3
1065,760,2600,2024-05-07,2024-11,21
1071,399,250,2023-12-04,2024-06,11
1086,690,81,2021-04-03,2021-07,16
1088,238,467,2023-05-01,2024-04,7
1092,705,585,2020-12-08,2021-04,16
1095,129,476,2021-06-22,2021-11,19
1097,269,474,2021-08-05,2022-07,10
1106,998,2361,2023-05-30,2023-07,5
1107,450,1085,2023-11-04,2024-04,16
1120,264,2796,2023-11-13,2023-12,12
1126,934,200,2023-12-20,2024-06,5
1128,723,106,2023-08-09,2024-05,19
1130,993,2243,2020-01-01,2020-07,12
1132,870,2470,2023-10-25,2024-02,21
1139,733,623,2023-08-20,2024-07,7
1159,555,2706,2022-06-13,2023-05,21
1164,677,199,2021-09-02,2021-11,5
1165,673,1236,2023-12-02,2024-09,8
1168,406,731,2021-01-19,2021-11,22
1179,659,2392,2022-11-01,2023-10,16
1180,266,2337,2022-11-19,2023-07,21
1182,950,2682,2023-07-20,2023-08,18
1184,338,2669,2023-12-15,2024-12,20
1188,546,1926,2021-12-07,2022-02,8
1192,230,2730,2022-11-28,2023-09,16
1194,588,1572,2022-01-08,2022-06,19
1197,113,1289,2023-09-16,2024-03,3
1198,103,794,2021-09-14,2022-09,18
1201,88,477,2023-01-22,2023-04,24
1202,354,403,2024-09-21,2024-12,15
1204,876,2993,2023-08-23,2024-04,19
1208,866,1740,2020-01-30,2020-03,8
1211,845,2310,2022-09-21,2023-05,13
1216,691,944,2022-05-06,2022-11,11
1218,683,2526,2022-11-06,2023-08,12
1220,408,1773,2023-09-30,2024-04,15
1221,636,1876,2023-08-23,2024-03,6
1229,514,1436,2022-03-27,2022-12,6
1231,141,2580,2022-12-23,2023-08,10
1236,716,635,2022-05-01,2022-07,4
1248,717,348,2024-03-24,2024-12,19
1266,192,1078,2020-10-10,2021-09,12
1268,996,134,2022-07-07,2023-02,4
1269,292,1107,2020-04-08,2021-03,22
1271,317,267,2020-05-13,2021-02,23
1281,316,1803,2022-07-02,2023-01,5
1288,58,1943,2024-03-24,2024-11,3
1290,879,2247,2021-11-18,2021-12,20
1291,725,1791,2023-06-16,2023-08,16
1295,314,378,2023-08-11,2024-06,15
1297,113,1985,2023-01-27,2023-02,9
1300,438,2606,2022-09-19,2023-01,13
1303,448,1632,2023-03-08,2023-08,21
1310,514,2198,2021-04-12,2022-03,13
1312,570,44,2020-01-28,2020-10,12
1316,932,1388,2020-11-23,2021-10,7
1321,494,1914,2020-12-23,2021-11,16
1331,860,747,2021-02-03,2021-03,5
1335,458,751,2021-06-04,2022-01,9
1336,444,2512,2023-01-21,2023-04,20
1339,708,872,2021-08-19,2022-02,7
1343,506,13,2020-07-24,2021-05,21
1368,387,642,2020-01-18,2020-11,17
1372,65,257,2021-05-01,2022-02,22
1373,357,1111,2020-01-10,2020-07,24
1381,491,2997,2021-09-25,2022-07,15
1385,973,2346,2022-08-26,2023-08,3
1401,801,1527,2022-10-09,2023-02,5
1405,309,1579,2023-04-23,2023-10,17
1411,857,1904,2020-01-11,2020-12,13
1421,103,2790,2021-02-25,2021-10,11
1422,653,611,2020-07-17,2020-10,17
1431,976,753,2023-05-11,2023-08,13
1433,146,326,2020-12-23,2021-12,5
1434,394,126,2024-02-21,2024-05,22
1436,183,2676,2020-06-26,2021-04,15
1438,995,2479,2023-03-13,2023-05,11
1440,6,1755,2020-06-17,2020-11,3
1441,893,356,2023-01-01,2023-02,3
1448,419,575,2021-06-07,2021-08,22
1449,185,1246,2023-12-14,2024-12,12
1466,18,2914,2024-01-23,2024-08,19
1473,872,2981,2020-02-12,2021-01,10
1474,518,1984,2020-09-29,2021-01,24
1477,179,1768,2023-06-06,2024-06,8
1489,486,553,2023-12-20,2024-05,20
1497,748,704,2023-06-14,2023-07,22
1502,379,2034,2020-05-22,2020-12,12
1515,473,1299,2023-06-24,2023-10,4
1516,449,2278,2024-02-07,2024-07,15
1521,815,2941,2022-08-13,2022-11,23
1531,927,2102,2020-09-09,2021-04,14
1538,502,2575,2021-02-15,2021-03,8
1540,94,2069,2022-09-10,2023-03,8
1546,858,1206,2021-10-09,2022-05,5
1549,705,25,2021-09-27,2021-12,7
1553,66,2220,2023-09-28,2024-03,23
1566,866,1570,2023-07-23,2023-12,23
1567,709,1422,2021-09-24,2022-04,20
1568,294,200,2020-08-19,2021-05,11
1569,168,1326,2023-03-13,2024-02,23
1573,991,1395,2020-09-26,2021-08,9
1577,101,1953,2020-11-17,2021-04,23
1586,227,1442,2022-03-07,2022-07,4
1593,597,1329,2022-01-05,2023-01,21
1601,155,2970,2021-08-17,2021-10,13
1606,799,407,2021-02-13,2021-11,13
1609,669,1805,2021-04-27,2021-07,13
1614,135,1158,2023-10-13,2024-04,21
1615,290,999,2022-11-06,2023-10,21
1616,314,1789,2022-06-03,2022-11,4
1621,26,1607,2021-07-17,2021-11,3
1622,99,2183,2020-12-16,2021-05,18
1628,47,2597,2023-05-06,2023-06,16
1629,140,2543,2021-06-04,2021-08,14
1630,19,1816,2024-02-14,2024-05,6
1633,468,1724,2023-09-12,2023-12,10
1642,905,340,2021-08-26,2022-03,12
1652,55,213,2020-08-03,2021-01,5
1653,399,1600,2022-12-06,2023-01,23
1659,656,232,2021-09-30,2021-11,21
1665,258,689,2023-01-16,2023-04,6
1676,368,2273,2022-10-28,2023-05,5
1677,458,1362,2020-03-30,2020-06,23
1687,317,917,2020-02-19,2020-04,5
1689,242,1536,2023-11-25,2024-10,18
1692,390,1696,2020-02-03,2020-03,7
1695,273,978,2023-03-07,2023-07,3
1701,708,2719,2022-07-25,2022-11,18
1706,918,335,2020-02-02,2021-02,6
1710,689,739,2021-04-17,2021-06,6
1714,639,2777,2023-06-07,2024-01,16
1716,873,2720,2021-08-10,2021-09,8
1719,585,1523,2021-12-18,2022-09,3
1725,311,76,2024-06-24,2024-07,23
1728,155,2195,2022-12-20,2023-02,23
1732,374,2149,2023-03-11,2023-07,17
1735,592,184,2023-03-13,2023-05,7
1743,977,1863,2020-07-15,2020-08,12
1745,474,733,2023-11-15,2024-08,5
1768,972,483,2022-05-26,2022-09,17
1769,574,615,2023-10-23,2024-03,4
1777,573,735,2021-08-03,2022-08,15
1779,467,854,2021-09-14,2022-05,24
1786,531,230,2024-04-14,2024-08,7
1791,84,2889,2022-01-11,2022-11,23
1799,2,576,2021-07-11,2021-10,23
1804,191,227,2022-02-17,2022-05,21
1806,72,1632,2023-02-24,2023-06,4
1807,59,2691,2020-07-01,2021-04,18
1809,963,1258,2023-01-18,2023-09,17
1814,941,532,2021-05-17,2022-01,8
1816,323,2760,2023-03-10,2023-12,23
1818,76,2097,2020-09-13,2020-10,10
1820,993,2374,2023-07-17,2024-03,18
1829,14,456,2020-10-09,2020-12,11
1839,225,578,2020-07-02,2021-03,24
1842,171,1580,2022-09-03,2023-08,21
1844,979,488,2021-10-31,2022-07,13
1870,129,380,2022-11-10,2023-05,8
1891,595,10,2022-10-17,2023-08,23
1895,768,909,2020-12-17,2021-03,21
1903,957,1274,2022-03-29,2023-02,11
1905,211,209,2022-06-30,2022-10,23
1906,369,1946,2024-04-17,2024-07,6
1910,556,873,2020-10-29,2021-10,21
1919,970,2110,2022-12-14,2023-07,14
1920,263,1100,2021-04-05,2022-04,10
1925,399,908,2024-01-26,2024-08,13
1931,497,2912,2022-04-13,2023-01,13
1936,825,1732,2024-03-27,2024-10,13
1947,174,2392,2021-02-06,2021-11,4
1948,274,758,2024-03-03,2024-08,23
1949,896,2577,2023-12-13,2024-03,9
1952,646,1264,2022-03-06,2022-05,16
1956,531,2295,2020-01-27,2020-11,3
1967,144,1801,2022-05-04,2023-01,9
1969,802,2239,2020-03-27,2021-01,14
1993,696,353,2021-12-31,2022-12,13
1995,824,1402,2023-12-06,2024-10,19
2005,968,1112,2021-11-09,2022-09,13
2014,419,2051,2023-08-02,2023-11,16
2019,851,2407,2022-05-20,2023-05,16
2021,64,790,2020-04-10,2020-05,7
2028,928,1154,2023-06-28,2024-05,17
2038,95,1535,2022-01-09,2022-03,3
2042,101,2467,2021-10-06,2022-08,4
2043,584,496,2024-02-13,2024-12,22
2054,841,2123,2022-03-13,2022-09,19
2056,278,2942,2020-08-18,2020-12,8
2069,608,1826,2020-08-16,2021-08,16
2071,79,2757,2021-11-23,2021-12,16
2073,887,731,2022-12-16,2023-10,10
2074,359,594,2022-11-04,2023-04,8
2080,106,424,2021-09-25,2022-03,10
2085,800,1128,2021-10-06,2022-05,23
2088,185,1672,2023-03-31,2023-05,23
2089,726,1764,2020-09-02,2021-08,15
2094,63,1327,2023-10-22,2024-09,8
2095,571,240,2023-05-28,2023-11,23
2099,964,55,2022-06-23,2023-02,19
2107,461,305,2022-09-28,2023-07,19
2112,996,2101,2021-12-03,2022-08,11
2113,732,1487,2021-01-29,2021-12,8
2114,752,2059,2023-08-28,2023-12,5
2115,563,2835,2021-09-23,2022-06,23
2116,308,2900,2023-05-15,2023-07,3
2124,814,1548,2020-10-19,2021-03,22
2130,93,1953,2021-05-18,2021-09,4
2133,10,304,2021-07-11,2022-02,11
2135,648,665,2024-07-04,2024-09,18
2145,565,2640,2022-05-02,2023-01,10
2148,308,299,2022-02-11,2022-07,17
2151,178,474,2021-08-28,2021-12,10
2152,354,370,2023-05-27,2024-05,9
2165,145,2016,2020-06-04,2020-12,4
2176,553,664,2020-05-17,2021-02,4
2177,562,1076,2020-07-22,2021-03,15
2183,916,2824,2024-04-26,2024-09,21
2184,729,571,2022-03-04,2023-02,11
2190,594,959,2020-04-15,2020-09,7
2196,159,1912,2020-05-16,2021-05,5
2197,679,253,2021-09-12,2022-04,6
2200,180,2265,2024-10-07,2024-11,10
2211,687,54,2024-06-08,2024-07,11
2217,879,1297,2024-08-09,2024-10,14
2233,662,1033,2020-05-27,2021-05,21
2236,143,2923,2020-07-08,2020-09,4
2237,30,2762,2020-08-09,2021-01,10
2251,537,2070,2021-08-05,2022-08,10
2257,924,1900,2023-03-22,2023-08,23
2258,20,598,2022-06-28,2023-04,11
2268,803,1471,2020-06-23,2020-07,14
2270,938,511,2023-02-21,2023-06,24
2274,976,2128,2020-05-18,2020-07,12
2304,939,1258,2021-09-30,2022-08,17
2313,356,1136,2021-05-06,2021-08,10
2316,657,154,2020-10-29,2021-07,23
2324,399,401,2021-02-22,2021-10,13
2331,510,595,2022-07-26,2023-01,6
2332,187,1565,2020-06-03,2020-12,5
2335,140,62,2020-04-04,2020-05,16
2338,838,2514,2023-10-02,2024-05,11
2341,877,616,2022-05-10,2022-10,15
2343,772,2426,2023-05-25,2023-10,6
2346,601,999,2024-01-13,2024-07,22
2352,90,379,2023-07-07,2024-02,13
2355,638,47,2022-07-09,2022-12,15
2357,793,1778,2020-03-04,2020-12,22
2359,973,1714,2022-01-17,2022-08,19
2365,927,2520,2022-01-26,2022-09,6
2369,266,2499,2023-04-14,2023-05,14
2379,651,1874,2022-08-27,2023-08,19
2383,501,1687,2023-02-22,2023-04,8
2384,923,1936,2023-01-22,2023-04,14
2394,968,78,2020-11-12,2021-07,21
2395,241,1239,2020-01-23,2020-10,5
2411,257,400,2023-06-27,2024-03,18
2414,136,2596,2023-10-30,2024-01,8
2420,825,1433,2023-09-15,2024-01,23
2422,544,1740,2024-05-20,2024-08,11
2427,55,282,2021-12-07,2022-12,22
2428,929,2913,2020-04-28,2020-06,14
2435,603,831,2022-11-13,2023-10,12
2442,401,2854,2020-10-14,2021-02,21
2450,644,1998,2021-04-16,2021-10,16
2452,662,1436,2021-01-20,2021-02,23
2457,190,471,2020-08-15,2020-12,17
2465,281,429,2022-01-25,2022-08,22
2468,640,2650,2021-08-01,2022-07,11
2480,841,418,2020-04-09,2020-05,16
2489,774,1244,2022-12-15,2023-06,19
2499,653,1549,2022-06-15,2022-12,18
2503,58,1175,2020-06-25,2020-07,8
2507,307,962,2020-01-22,2020-11,9
2521,606,877,2023-08-16,2023-12,22
2525,331,150,2021-12-18,2022-01,24
2532,83,1576,2021-12-10,2022-10,7
2533,462,2184,2022-01-27,2022-04,16
2535,385,1350,2021-06-24,2022-01,20
2537,796,733,2023-10-05,2024-01,6
2540,45,1281,2020-07-23,2020-11,20
2556,209,2416,2022-08-27,2023-07,16
2557,796,2772,2022-01-10,2023-01,7
2563,598,218,2023-11-16,2024-09,20
2568,165,1523,2023-01-29,2023-10,19
2570,402,2236,2023-12-11,2024-08,19
2590,397,2277,2021-07-07,2021-09,3
2605,475,771,2021-08-02,2021-12,5
2610,462,508,2024-01-18,2024-04,3
2611,222,1858,2022-11-03,2023-10,17
2612,649,919,2021-04-14,2021-08,6
2614,346,1783,2022-02-17,2022-03,23
2618,297,2744,2020-07-27,2021-05,16
2624,838,283,2020-05-02,2020-11,23
2629,845,606,2023-09-10,2024-02,12
2631,600,900,2020-04-14,2020-10,19
2636,937,2051,2023-04-10,2023-11,3
2640,808,2776,2022-10-22,2023-02,13
2643,907,1362,2020-04-01,2020-07,13
2648,142,2764,2020-06-06,2021-03,22
2655,630,240,2022-08-04,2022-09,13
2657,696,534,2021-07-27,2021-09,7
2660,733,1208,2020-06-22,2020-11,23
2664,122,446,2020-06-28,2020-11,13
2670,464,2411,2023-02-03,2023-06,21
2673,762,1707,2020-05-11,2021-01,19
2678,500,2516,2023-01-17,2023-08,16
2686,357,512,2020-12-28,2021-08,11
2692,720,138,2022-05-15,2023-05,8
2696,430,2195,2020-04-29,2020-10,10
2710,98,2887,2022-03-28,2022-12,11
2719,272,650,2021-02-25,2021-03,20
2723,645,2484,2024-02-18,2024-05,12
2730,699,1880,2022-08-24,2023-02,12
2731,145,1796,2024-06-28,2024-10,6
2736,955,273,2024-01-03,2024-09,3
2744,966,1665,2021-01-01,2021-08,19
2768,476,595,2020-06-03,2020-08,8
2771,357,1605,2021-08-03,2021-12,5
2781,282,837,2024-09-16,2024-12,5
2792,324,2269,2023-01-13,2023-11,21
2798,416,2314,2023-10-10,2024-07,16
2801,864,850,2022-12-09,2023-01,21
2804,67,2403,2023-08-28,2024-05,9
2808,413,640,2022-11-14,2023-03,11
2809,386,2876,2023-04-19,2024-04,15
2819,61,316,2023-03-30,2023-11,3
2822,593,1189,2024-07-29,2024-09,24
2836,565,1624,2023-11-04,2024-11,14
2841,95,34,2023-01-12,2024-01,23
2844,436,53,2021-10-01,2022-02,11
2845,491,1637,2024-03-02,2024-06,4
2855,121,761,2023-03-04,2023-06,15
2856,795,2330,2021-11-28,2022-06,9
2860,17,91,2021-12-09,2022-06,3
2861,572,2915,2023-06-01,2024-01,23
2865,305,1687,2020-07-20,2021-01,21
2876,785,1626,2024-02-27,2024-03,16
2885,475,1750,2022-06-01,2022-09,4
2886,585,2524,2020-07-06,2021-06,11
2898,202,2001,2024-03-25,2024-06,21
2900,312,1122,2023-04-20,2023-12,20
2901,806,940,2021-01-02,2021-12,10
2906,245,1195,2024-09-14,2024-11,16
2909,138,146,2023-04-11,2023-12,20
2910,160,1069,2024-03-11,2024-12,8
2915,594,1006,2021-10-13,2021-11,7
2918,106,2675,2021-04-27,2021-07,17
2919,345,139,2022-10-26,2023-10,15
2920,288,1639,2021-10-12,2022-10,16
2921,369,2295,2021-12-30,2022-07,14
2928,347,229,2021-11-02,2022-09,11
2930,623,1203,2023-12-16,2024-10,3
2943,775,910,2020-07-29,2021-05,3
2947,347,1435,2021-10-21,2022-07,18
2948,421,2952,2020-09-03,2020-12,17
2950,592,1824,2021-08-14,2021-10,15
2966,440,279,2024-06-14,2024-09,7
2970,531,116,2023-02-09,2023-11,16
2973,174,2506,2021-08-23,2022-06,17
2986,725,2893,2020-04-30,2021-04,16
2990,310,505,2023-03-31,2023-09,6
2992,235,837,2021-04-17,2021-07,8
2995,195,2955,2022-07-23,2022-11,15
3013,115,2581,2021-12-29,2022-06,16
3027,922,2250,2024-03-31,2024-11,20
3028,574,2721,2023-06-18,2023-09,8
3033,477,1105,2022-04-07,2023-01,5
3037,177,2535,2021-08-05,2022-07,18
3053,796,1100,2024-06-12,2024-11,21
3076,351,1914,2022-02-12,2022-06,5
3077,3,1676,2023-03-27,2024-03,13
3082,788,1060,2022-06-06,2022-10,9
3087,561,1688,2024-09-26,2024-12,23
3096,128,1116,2024-02-06,2024-03,19
3103,153,226,2021-01-17,2022-01,24
3107,286,2040,2023-08-17,2023-11,4
3108,517,2158,2024-03-15,2024-08,8
3110,467,786,2023-01-05,2023-09,13
3122,546,2067,2020-06-17,2020-07,9
3124,727,2269,2023-07-12,2024-06,18
3127,782,1316,2020-05-03,2020-11,11
3136,243,2335,2023-04-16,2024-01,10
3140,179,1570,2022-01-06,2022-08,10
3143,459,1525,2023-03-07,2023-09,15
3149,937,1960,2023-06-16,2023-08,6
3151,625,1612,2022-05-27,2022-11,3
3168,251,2856,2021-12-01,2022-12,3
3170,912,119,2022-05-24,2023-04,21
3178,251,1440,2023-04-20,2023-06,7
3180,910,2322,2023-01-18,2023-12,12
3197,778,1335,2021-06-22,2022-06,3
3199,393,33,2021-09-15,2021-10,15
3203,89,2094,2020-04-08,2020-10,20
3204,523,833,2022-11-11,2023-11,9
3205,491,1742,2023-07-22,2023-09,3
3208,321,1980,2022-07-13,2023-02,7
3214,275,162,2024-02-13,2024-08,11
3224,921,1298,2020-04-01,2021-03,9
3227,738,2399,2020-02-25,2020-05,21
3234,487,1367,2023-01-24,2023-07,16
3240,385,2073,2020-03-23,2020-12,19
3247,57,1265,2021-05-30,2022-05,3
3253,238,196,2024-03-06,2024-08,9
3267,448,132,2020-09-25,2021-07,16
3281,368,1421,2023-11-13,2023-12,20
3286,52,2384,2023-07-13,2024-06,11
3291,128,551,2021-08-12,2022-04,6
3293,911,2540,2022-05-02,2022-08,6
3297,333,2173,2022-03-25,2022-06,7
3302,110,2530,2021-09-29,2022-09,16
3304,826,1890,2020-08-08,2021-04,17
3308,917,79,2022-05-20,2023-04,18
3310,453,2529,2021-05-11,2022-03,14
3322,330,2185,2022-06-03,2022-10,4
3327,899,2900,2022-12-23,2023-06,11
3331,206,1883,2020-12-23,2021-10,13
3335,96,290,2020-10-27,2021-03,4
3343,3,2415,2020-01-27,2020-11,12
3344,931,1042,2021-12-04,2022-11,8
3349,455,2791,2023-09-02,2024-08,4
3354,39,466,2022-09-22,2023-01,12
3378,990,1939,2020-01-02,2020-11,23
3384,974,738,2023-04-28,2023-08,8
3391,625,1053,2021-03-16,2021-04,18
3392,424,2360,2022-05-19,2022-11,9
3395,665,734,2023-06-21,2024-01,15
3396,181,2624,2020-09-12,2020-10,21
3399,629,634,2024-02-10,2024-11,21
3414,898,80,2022-03-31,2022-10,23
3416,483,1813,2023-06-17,2023-10,11
3423,803,2225,2022-12-13,2023-12,6
3428,390,2219,2022-02-10,2022-06,22
3429,116,2541,2022-10-04,2023-01,10
3430,553,2019,2024-08-30,2024-12,21
3431,52,626,2023-10-18,2024-08,4
3438,542,2559,2022-10-22,2023-08,4
